head words,entry,sources,all lexemes,linked words,linked entries
"dorrên","<heading><strong>dorrên</strong></heading> (слгл. 3), <lang>свн.</lang> <lex>dorren</lex> <em>высохнуть, сушить</em>; <lang>нн.</lang> <lex>dorren</lex>, <lex>dörren</lex>; <lang>дс.</lang> <lex>thorron</lex>, <lang>ди.</lang> <lex>þerra</lex>, <lang>го.</lang> <lex>gaþairsan</lex> <em>засыхать</em>.",,"dörren, thorron, þerra, gaþairsan, dorren",,
"dorsen","<heading><strong>dorsen</strong></heading> <lang>нжн.</lang> (прпргл.) <em>употреблять, поль­зоваться, нуждаться</em>, <linked>см. gitar</linked>.",,,"gitar","<heading><strong>gitar</strong></heading> 1 л. наст. (прпргл.) <em>осмеливаюсь</em>, 2 л. ед. наст. <lex>gitarst</lex>, мн. <lex>giturrun</lex>; прош. <lex>gitorsta</lex>; инф. <lex>*gidurran</lex> не засвидетельствован; <lang>свн.</lang> наст. 1 л. ед, <lex>tar</lex>, 2 л. ед. <lex>tarst</lex>, мн. <lex>turren</lex>, прош. <lex>torste</lex>; <lang>да.</lang> наст. 1 л. ед. <lex variants="dearr, dear">dear(r)</lex>, прош. <lex>dorste</lex>, <lang>го.</lang> наст. 1 л. ед. <lex>gadars</lex>, прош. <lex>gadaúrsta</lex>, инф. <lex>gadaúrsan</lex>."
"douwen, dôan","<heading><strong>douwen</strong></heading>, <heading><strong>dôan</strong></heading>, <lang>свн.</lang> <lex>touwen</lex> (слгл. 1) <em>таять</em>; <lang>нн.</lang> <lex>tauen</lex>; <lang>да.</lang> <lex>þawian</lex>, <lang>ди.</lang> <lex>þeyja</lex>.",,"þawian, touwen, tauen, þeyja",,
"drâen","<heading><strong>drâen</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>dræjen</lex> <em>вертеть, вращать</em>; <lang>нн.</lang> <lex>drehen</lex>; <lang>дс.</lang> <lex>thrâian</lex>, <lang>да.</lang> <lex>ðrāwan</lex> (снгл. 7); ср. <lang>лат.</lang> <lex>tero</lex> <em>тру</em>, <lang>русск.</lang> <lex>«тереть»</lex>.",,"dræjen, thrâian, tero, «тереть», ðrāwan, drehen",,
"drâto, thrâto","<heading><strong>drâto</strong></heading>, <heading><strong>thrâto</strong></heading> (нар.) <em>быстро, поспешно, очень</em>.",,,,
"dreskan","<heading><strong>dreskan</strong></heading> (снгл. 3) <em>молотить</em>; <lang>нн.</lang> <lex>dreschen</lex>; <lang>да.</lang> <lex>þerskan</lex>, <lang>ди.</lang> <lex>þryskva</lex>, <lang>го.</lang> <lex>þriskan</lex>; ср. <lang>русск.</lang> <lex>«треск»</lex>.",,"þryskva, þriskan, þerskan, «треск», dreschen",,
"drewen, threwen","<heading><strong>drewen</strong></heading>, <heading><strong>threwen</strong></heading> (слгл. 1) (<lex>thrawis</lex> 2 л. ед. наст. <source>— Разг.—</source>), <lang>свн.</lang> <lex>dröuwen</lex> <em>угро­жать, облипать, обвинять</em>; <lang>нн.</lang> <lex>dräuen</lex> (устар.); <lang>нн.</lang> <lex>drohen</lex> (<lang>свн.</lang> новообразо­вание от <lex>drô</lex> <gender>жр</gender> <em>угроза</em>); <lang>дс.</lang> <lex>þrēan</lex>; ср. <lang>лат.</lang> <lex>torvus</lex> <em>свирепый, дикий, суровый</em>.","Разг.","thrawis, drohen, torvus, dröuwen, drô, þrēan, dräuen",,
"drî","<heading><strong>drî</strong></heading> <gender>мр</gender> <lex>driu</lex> <gender>срр</gender>, <lex>drio</lex> <gender>жр</gender>, <lang>свн.</lang> <lex>drî</lex>, <lex>drîe</lex> <gender>мр</gender> <gender>жр</gender>, <lex>driu</lex> <gender>срр</gender> (числ.) <em>три</em>; <lang>нн.</lang> <lex>drei</lex>; <lang>дс.</lang> <lex>thria</lex> <gender>мр</gender> <gender>жр</gender>, <lex>thriu</lex> <gender>срр</gender>, <lang>да.</lang> <lex>ðrīe</lex>, <lex>ðrī</lex>, <lex>ðrȳ</lex> <gender>мр</gender>, <lex>ðrīo</lex>, <lex>ðrēo</lex> <gender>срр</gender> <gender>жр</gender>, <lang>ди.</lang> <lex>þrir</lex> <gender>мр</gender>, <lex>þriú</lex> <gender>срр</gender>, <lex>þriár</lex> <gender>жр</gender>, <lang>го.</lang> <lex>þreis</lex> <gender>мр</gender> <gender>жр</gender>, <lex>þrija</lex> <gender>срр</gender>; ср. <lang>лат.</lang> <lex>trēs</lex>, <lang>русск.</lang> <lex>«три»</lex>.",,"ðrīe, þriú, ðrī, drei, drî, ðrēo, ðrīo, þreis, þrija, «три», thriu, ðrȳ, þrir, trēs, þriár, drio, drîe, thria, driu",,
"dringan","<heading><strong>dringan</strong></heading>, <lang>свн.</lang> <lex>dringen</lex> (снгл. 3) <em>проникать, теснить, тесниться</em>; <lang>нн.</lang> <lex>dringen</lex>; <lang>да.</lang> <lex>ðrinƷan</lex> <em>давить, жать</em>, <lang>ди.</lang> <lex>þryngva</lex>; <lang>го.</lang> <lex>þreihan</lex> <em>притеснять, угнетать</em>.",,"dringen, þryngva, ðrinƷan, þreihan",,
"dhrînissa","<heading><strong>dhrînissa</strong></heading> <gender>жр</gender> (б) <em>троица</em>; ср. <lang>лат.</lang> <lex>trinitas</lex>.",,"trinitas",,
"drinne, darinne","<heading variants="drinne, darinne"><strong>drinne (darinne)</strong></heading> (нар.) <em>внутри</em>; <lang>нн.</lang> <lex>darin</lex>.",,"darin",,
"drischel","<heading><strong>drischel</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>молотильный цеп</em>, <linked variants="dreskan">см. dreskan <em>молотить</em></linked>.",,,"dreskan","<heading><strong>dreskan</strong></heading> (снгл. 3) <em>молотить</em>; <lang>нн.</lang> <lex>dreschen</lex>; <lang>да.</lang> <lex>þerskan</lex>, <lang>ди.</lang> <lex>þryskva</lex>, <lang>го.</lang> <lex>þriskan</lex>; ср. <lang>русск.</lang> <lex>«треск»</lex>."
"drîzech, drîzec","<heading><strong>drîzech</strong></heading>, <heading><strong>drîzec</strong></heading> (числ.) <em>тридцать</em>; <lang>нн.</lang> <lex>dreißig</lex>.",,"dreißig",,
"thrtzugfalt","<heading><strong>thrtzugfalt</strong></heading> (числ.) <em>тридцатикратный</em>; <lang>нн.</lang> <lex>dreißigfältig</lex>.",,"dreißigfältig",,
"drof","<heading><strong>drof</strong></heading> <source>— Отфр.—</source>, <linked>см. tropfo</linked>.","Отфр.",,"tropfo","<heading><strong>tropfo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>tropfe</lex> <em>капля</em>; <lang>нн.</lang> <lex>Tropfen</lex>; <lang>дс.</lang> <lex>dropo</lex>, <lang>да.</lang> <lex>dropa</lex>, <lang>ди.</lang> <lex>dropi</lex>."
"droffenysse","<heading><strong>droffenysse</strong></heading> <lang>нжн.</lang> <gender>жр</gender> <em>печаль, горесть</em>.",,,,
"drofflyck","<heading><strong>drofflyck</strong></heading> <lang>нжн.</lang> (прил.) <em>печальный, го­рестный</em>.",,,,
"drohtin","<heading><strong>drohtin</strong></heading> <lang>дс.</lang> <gender>мр</gender> (a) <em>господин, бог</em>, <lang>двн.</lang> <lex>truhttn</lex>.",,"truhttn",,
"drôn","<heading><strong>drôn</strong></heading> <lang>свн.</lang> (слгл.) <em>угрожать</em>; <lang>нн.</lang> <lex>drohen</lex>.",,"drohen",,
"drôr","<heading><strong>drôr</strong></heading> <lang>дс.</lang> <gender>мр</gender> (a) <em>кровь</em>.",,,,
"drôrwôrag","<heading><strong>drôrwôrag</strong></heading> <lang>дс.</lang> (прил.) <em>находящийся в бес­памятстве от потери крови</em>.",,,,
"drouich","<heading><strong>drouich</strong></heading> <lang>нжн.</lang> (прил.) <em>печальный, горест­ный</em>.",,,,
"drûbon","<heading><strong>drûbon</strong></heading> <lang>дс.</lang> (слгл. 2) <em>печалиться, горевать</em>; <lang>двн.</lang> <lex>truoben</lex>.",,"truoben",,
"druos","<heading><strong>druos</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>жр</gender> (мн. <lang>двн.</lang> <lex>druosi</lex>, <lang>свн.</lang> <lex>drüese</lex>) <em>нарыв, язва</em>; <lang>нн.</lang> <lex>Drüse</lex> <em>железа</em>.",,"Drüse, drüese, druosi",,
"drûren","<heading><strong>drûren</strong></heading> (гл.), <linked variants="trûrên, trûren">см. trûren</linked>.",,,"trûrên, trûren","<heading><strong>trûrên</strong></heading>, <heading><strong>drûrên</strong></heading> (слгл. 3) <em>быть печальным, серьезным, задумчивым; опустить гла­за, потупиться</em>, <lang>нн.</lang> <lex>trauern</lex>."
"drûtboto","<heading><strong>drûtboto</strong></heading> <gender>мр</gender> (n) <em>близкий, доверенный</em>, <linked>см. trût</linked>.",,,"trût","<heading><strong>trût</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>любимый, возлюб­ленный, милый</em>; <lang>нн.</lang> <lex>traut</lex>., <heading><strong>trût</strong></heading>, <heading><strong>drût</strong></heading> <gender>мр</gender> <em>друг; ученик</em>, <lang>свн.</lang> <lex>trût</lex> <gender>мр</gender> <em>возлюбленный</em>, <gender>срр</gender> <em>возлюбленная</em>."
"thû, dhû, du","<heading><strong>thû</strong></heading>, <heading><strong>dhû</strong></heading>, <heading><strong>du</strong></heading>, <lang>свн.</lang> <lex>du</lex> (мест.) <em>ты</em>; <lang>нн.</lang> <lex>du</lex>; <lang>дс.</lang> <lex>thu</lex>, <lang>да.</lang> <lang>ди.</lang> <lang>го.</lang> <lex>ри</lex>; ср. <lang>лат.</lang> <lex>tu</lex>, <lang>русск.</lang> <lex>«ты»</lex>.",,"«ты», thu, du, tu, ри",,
"dûhen, diuhen","<heading><strong>dûhen</strong></heading>, <heading><strong>diuhen</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (слгл. 1) перех. <em>давить</em>, неперех. и возвр. <em>двигаться, толкаться</em>.",,,,
"thulten, dulten","<heading><strong>thulten</strong></heading>, <heading><strong>dulten</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (слгл. 1) <em>тер­петь, переносить</em>; <lang>нн.</lang> <lex>dulden</lex>; <lang>да.</lang> <lex>Ʒeþuldian</lex>.",,"Ʒeþuldian, dulden",,
"thûmo","<heading><strong>thûmo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>dûme</lex> <em>большой палец руки</em>; <lang>нн.</lang> <lex>Daumen</lex>; <lang>дс.</lang> <lex>thûmo</lex>, <lang>да.</lang> <lex>þūma</lex>, <lang>а.</lang> <lex>thumb</lex>.",,"þūma, thûmo, dûme, Daumen, thumb",,
"dump","<heading><strong>dump</strong></heading> (прил.), <linked>см. tumb</linked>.",,,"tumb","<heading><strong>tumb</strong></heading>, <heading><strong>dumb</strong></heading>, <lang>свн.</lang> <lex variants="tump, tumb">tump (b)</lex> (прил.) <em>немой, безмолвный, глупый</em>; <lang>нн.</lang> <lex>dumm</lex> (начальное <lex>d</lex> в совр. языке с XVIII в. из <lang>нжн.</lang>); <lang>дс.</lang> <lang>да.</lang> <lex>dumb</lex>, <lang>ди.</lang> <lex>dumbr</lex>, <lang>го.</lang> <lex>dumbs</lex>."
"thunken, dünken, dunchen","<heading><strong>thunken</strong></heading>, <heading><strong>dünken</strong></heading>, <heading><strong>dunchen</strong></heading> (слгл. 1) (прош. <lex>dühta</lex>), <lang>свн.</lang> <lex>dünken</lex>, <lex>dünken</lex> <em>воображать, казаться</em>; <lang>нн.</lang> <lex>dünken</lex>; <lang>дс.</lang> <lex>thunkian</lex>, <lang>да.</lang> <lex variants="ðyncean, ðyncan">ðync(e)an</lex>, <lang>ди.</lang> <lex>þykkja</lex>, <lang>го.</lang> <lex>þugkjan</lex>; ср. <lang>лат.</lang> <lex>tongere</lex> <em>знать</em>.",,"dühta, ðyncean, dünken, þugkjan, ðyncan, tongere, thunkian, þykkja",,
"duon","<heading><strong>duon</strong></heading>, <linked>см. tuon</linked>.",,,"tuon","<heading><strong>tuon</strong></heading>, <heading><strong>duon</strong></heading>, <heading><strong>duan</strong></heading>, <heading><strong>ton</strong></heading>, <heading><strong>duoan</strong></heading>, <lang>свн.</lang> <lex>tuon</lex> <em>делать, совершать, производить</em>; спряжение см. Грамматические таблицы; <lang>нн.</lang> <lex>tun</lex>; <lang>дс.</lang> <lex>duan</lex>, <lang>да.</lang> <lex>don</lex>, <lang>а.</lang> <lex>do</lex>; ср. <lang>русск.</lang> <lex>«деть»</lex>., <heading><strong>dôn</strong></heading> <lang>дс.</lang> <em>делать</em>; <lang>двн.</lang> <lex>tuon</lex>; <lang>нн.</lang> <lex>tun</lex>."
"dhurahfaran","<heading><strong>dhurahfaran</strong></heading> (снгл. 6) <em>исследовать</em>.",,,,
"thurƀan","<heading><strong>thurƀan</strong></heading> <lang>дс.</lang> (прпргл.), <linked>см. durfan</linked>.",,,"durfan","<heading><strong>durfan</strong></heading> (прпргл.) <em>иметь надобность, нуж­даться</em> (наст. ед. <lex>darf</lex>, 2 л. <lex>darft</lex>, мн. <lex>durfun</lex>; сосл. <lex>clurfi</lex>; прош. <lex>dorfta</lex>), <lang>свн.</lang> <lex>dürfen</lex>, <lex>dürfen</lex> (наст. <lex>darf</lex>, 2 л. <lex>darft</lex>, мн. <lex>dürfen</lex>, прош. <lex>dorfte</lex>); <lang>нн.</lang> <lex>dürfen</lex>; <lang>дс.</lang> <lex>thurban</lex> (наст. <lex>tharf</lex>, прош. <lex>thorfta</lex>), <lang>да.</lang> <lex>ðurfan</lex> (наст. <lex>ðearf</lex>, прош. <lex>ðorfte</lex>), <lang>ди.</lang> <lex>þurfa</lex> (наст. <lex>þarf</lex>, прош. <lex>þurfta</lex>), <lang>го.</lang> <lex>þaúrban</lex> (наст. <lex>þarf</lex>, прош. <lex>þaúrfta</lex>)."
"durfan","<heading><strong>durfan</strong></heading> (прпргл.) <em>иметь надобность, нуж­даться</em> (наст. ед. <lex>darf</lex>, 2 л. <lex>darft</lex>, мн. <lex>durfun</lex>; сосл. <lex>clurfi</lex>; прош. <lex>dorfta</lex>), <lang>свн.</lang> <lex>dürfen</lex>, <lex>dürfen</lex> (наст. <lex>darf</lex>, 2 л. <lex>darft</lex>, мн. <lex>dürfen</lex>, прош. <lex>dorfte</lex>); <lang>нн.</lang> <lex>dürfen</lex>; <lang>дс.</lang> <lex>thurban</lex> (наст. <lex>tharf</lex>, прош. <lex>thorfta</lex>), <lang>да.</lang> <lex>ðurfan</lex> (наст. <lex>ðearf</lex>, прош. <lex>ðorfte</lex>), <lang>ди.</lang> <lex>þurfa</lex> (наст. <lex>þarf</lex>, прош. <lex>þurfta</lex>), <lang>го.</lang> <lex>þaúrban</lex> (наст. <lex>þarf</lex>, прош. <lex>þaúrfta</lex>).",,"dorfte, þaúrban, clurfi, þurfta, þurfa, ðorfte, dürfen, þarf, durfun, ðurfan, ðearf, þaúrfta, darf, darft, thorfta, thurban, dorfta, tharf",,
"thurft, dürft","<heading><strong>thurft</strong></heading>, <heading><strong>dürft</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>жр</gender> (i) <em>потребность, нужда, необходимость</em>; <lang>дс.</lang> <lex>thurft</lex>, <lang>го.</lang> <lex>paurfts</lex>.",,"thurft, paurfts",,
"durchluter","<heading><strong>durchluter</strong></heading> <lang>свн.</lang> (прил.) <em>совершенно яс­ный и чистый</em>, <linked>см. lûttar</linked>.",,,"lûttar","<heading><strong>lûttar</strong></heading>, <lang>свн.</lang> <lex>lûter</lex> (прил.) <em>чистый</em>; <lang>нн.</lang> <lex>lau­ter</lex>; <lang>дс.</lang> <lex>hlûttar</lex>, <lang>да.</lang> <lex>hlûttor</lex>, <lang>го.</lang> <lex>hlutrs</lex>; ср. <lang>лат.</lang> <lex>cluo</lex> <em>чищу</em>; <linked>см. hlûtar</linked>."
"durst, turst","<heading><strong>durst</strong></heading>, <heading><strong>turst</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> <em>жажда</em>; <lang>нн.</lang> <lex>Durst</lex>; <lang>дс.</lang> <lex>thurst</lex>, <lang>да.</lang> <lex>purst</lex>, <lang>го.</lang> <lex>þaúrstei</lex> <gender>жр</gender>.",,"þaúrstei, thurst, Durst, purst",,
"durchstrîchan","<heading><strong>durchstrîchan</strong></heading> (снгл. 1) <em>бесцельно бродить по…</em>; <lang>нн.</lang> <lex>durchstreichen</lex>.",,"durchstreichen",,
"thuruh, durah","<heading><strong>thuruh</strong></heading>, <heading><strong>durah</strong></heading>, <lang>свн.</lang> <lex>durch</lex>, <lex>dur</lex> (предл. с вин.) <em>через, сквозь, посредством, благодаря, ради</em>; <lang>дс.</lang> <lex>thurh</lex>, <lang>да.</lang> <lex>þurh</lex>, <lang>го.</lang> <lex>þairh</lex>.",,"þairh, thurh, þurh, dur, durch",,
"thuruhsklahan","<heading><strong>thuruhsklahan</strong></heading> (~ <lex>slahan</lex>) (снгл. 6) <em>пробивать (насквозь)</em>; <lang>нн.</lang> <lex>durchschla­gen</lex>.",,"slahan, durchschla­gen",,
"thuruhstehan","<heading><strong>thuruhstehan</strong></heading> (снгл. 4) <em>прокалывать, прон­зать</em>; <lang>нн.</lang> <lex>durchstechen</lex>.",,"durchstechen",,
"thuruhthigan","<heading><strong>thuruhthigan</strong></heading> (прил. прич.) <em>совершенный</em>; <linked variants="thîhan, thihan">см. thihan</linked>.",,,"thîhan, thihan","<heading><strong>thîhan</strong></heading>, <heading><strong>dîhan</strong></heading>, <heading><strong>gidîhan</strong></heading> (снгл. 1) (прош. <lex>den</lex>), <lang>свн.</lang> <lex>gedîhen</lex> <em>прибавлять, успе­вать, расти, развиваться</em>; <lang>нн.</lang> <lex>gedei­hen</lex>; <lang>дс.</lang> <lex>githiƷhan</lex>, <lang>да.</lang> <lex>Ʒeðēon</lex>, <lang>го.</lang> <lex>ga-</lex> <lex>þeihan</lex>."
"thuruhwonen","<heading><strong>thuruhwonen</strong></heading> <source>— Тат.—</source> (слгл. 3) <em>оста­ваться, упорствовать</em>.","Тат.",,,
"thûsunt, dûsunt","<heading><strong>thûsunt</strong></heading>, <heading><strong>dûsunt</strong></heading>, <lang>свн.</lang> <lex>tûsunt</lex>, <lex>tûsent</lex> (числ.) <em>тысяча</em>; <lang>нн.</lang> <lex>tausend</lex>; <lang>дс.</lang> <lex>thûsind</lex>, <lang>да.</lang> <lex>þusend</lex>, <lang>ди.</lang> <lex>þúsund</lex>, <lang>го.</lang> <lex>þūsundi</lex>; ср. <lang>русск.</lang> <lex>«тысяча»</lex>; <lex>tûsentstunt</lex> <em>тысяча раз</em>.",,"þūsundi, þusend, tûsentstunt, tausend, tûsunt, «тысяча», tûsent, þúsund, thûsind",,
"dwahan, twahan","<heading><strong>dwahan</strong></heading>, <heading><strong>twahan</strong></heading> (снгл. 6), <lang>свн.</lang> <lex>twahcn</lex> <em>купаться, умываться, мыться</em>; <lang>да.</lang> <lex>þwēan</lex>, <lang>ди.</lang> <lex>þwá</lex>, <lang>го.</lang> <lex>þwahan</lex>.",,"þwēan, twahcn, þwá, þwahan",,
"dwalm","<heading><strong>dwalm</strong></heading> <lang>дс.</lang> <gender>мр</gender> (a) <em>оглушение, препятст­вие</em>, <lang>двн.</lang> <lex>twalm</lex>.",,"twalm",,
"thwingan, dwingan","<heading><strong>thwingan</strong></heading>, <heading><strong>dwingan</strong></heading> (снгл. 3), <lang>свн.</lang> <lex>dwingen</lex>, <lex>twingen</lex> <em>принуждать, притес­нять, подавлять, преодолевать</em>; <lang>нн.</lang> <lex>zwingen</lex>; <lang>дс.</lang> <lex>thwingan</lex>, <lang>да.</lang> <lex>ðwinƷan</lex>, <lang>ди.</lang> <lex>þvinga</lex>.",,"thwingan, dwingen, ðwinƷan, þvinga, twingen, zwingen",,
"e, ih","<heading variants="e, ih"><strong>e</strong></heading> <source>— Разг.—</source> = <lex>ih</lex>.","Разг.","ih",,
"eban, ebano","<heading variants="eban, ebano"><strong>eban(o)</strong></heading>, <lang>свн.</lang> <lex variants="ebene, eben">eben(e)</lex> (прил.) <em>гладкий, ровный</em>; <lang>нн.</lang> <lex>eben</lex>; <lang>дс.</lang> <lex>eban</lex>, <lex>efno</lex>, <lang>да.</lang> <lex variants="efne, efn">efn(e)</lex>, <lang>ди.</lang> <lex>jafn</lex>, <lang>го.</lang> <lex>ibns</lex>.",,"jafn, ebene, eban, ibns, efne, efn, efno, eben",,
"ebanchilîh","<heading><strong>ebanchilîh</strong></heading> (прил.) <em>одинаковый, равный</em>.",,,,
"ebenfilo","<heading><strong>ebenfilo</strong></heading> (нар.) <em>одинаково</em>.",,,,
"æber","<heading><strong>æber</strong></heading> <gender>срр</gender> <em>бесснежное место</em>.",,,,
"eddo, erdo, -oder","<heading><strong>eddo</strong></heading>, <heading><strong>erdo</strong></heading>, <heading><strong>-oder</strong></heading> (сз.) <em>или</em>; <lang>нн.</lang> <lex>oder</lex>; <lang>дс.</lang> <lex>eftho</lex>, <lang>да.</lang> <lex>oððe</lex>, <lang>го.</lang> <lex>aiþþáu</lex>.",,"aiþþáu, oððe, eftho, oder",,
"edili","<heading><strong>edili</strong></heading> <gender>срр</gender> (ja) <em>род, племя</em>.",,,,
"edili","<heading><strong>edili</strong></heading>, <lang>свн.</lang> <lex variants="edele, edel">edel(e)</lex> (прил.) <em>из знатного рода, благородный; великолепный, цен­ный</em>; <lang>нн.</lang> <lex>edel</lex>.",,"edele, edel",,
"edilthegan","<heading><strong>edilthegan</strong></heading> <gender>мр</gender> <em>благородный муж (воин, витязь)</em>.",,,,
"effen","<heading><strong>effen</strong></heading> <lang>свн.</lang> (слгл.) (прош. <lex>afte</lex> и <lex>efte</lex>) <em>дурачить, обманывать</em>; <lang>нн.</lang> <lex>äffen</lex>.",,"afte, efte, äffen",,
"eft","<heading><strong>eft</strong></heading> <lang>дс.</lang> (нар.) <em>опять, снова, с другой сто­роны</em>.",,,,
"eftha, eftho","<heading><strong>eftha</strong></heading>, <heading><strong>eftho</strong></heading> <lang>дс.</lang> (сз.) <em>или</em>.",,,,
"eft, efte","<heading variants="eft, efte"><strong>eft(e)</strong></heading> <lang>нжн.</lang> (сз.) <em>или, если, когда</em>.",,,,
"êgan","<heading><strong>êgan</strong></heading> <lang>дс.</lang> (гл. прил.), <linked>см. eigan</linked>.",,,"eigan","<heading><strong>eigan</strong></heading>, <lang>свн.</lang> <lex>eigen</lex> (прил.) <em>собственный, свойственный</em>; <lang>нн.</lang> <lex>eigen</lex>; <lang>дс.</lang> <lex>êgan</lex>., <heading><strong>eigan</strong></heading> (прпргл.) (наст. 1 л. мн. <lex>eigâmes</lex>, 2 л. <lex>eigut</lex>, 3 л. <lex>eigun</lex>, сосл. <lex>eigi</lex> и т. д., прош. не засвидетельствовано) <em>обла­дать, иметь</em>; <lang>дс.</lang> <lex>êgan</lex> (прош. <lex>êhta</lex>), <lang>да.</lang> <lex>āƷan</lex> (прош. <lex>āhte</lex>), <lang>го.</lang> <lex>aigan</lex> (прош. <lex>áihta</lex>)."
"êht","<heading><strong>êht</strong></heading> <gender>жр</gender> (i) (<source>— Тат.—</source> род. ед. <lex>hehti</lex>) <em>имение, имущество</em>; <lang>да.</lang> <lex>ǣht</lex>, <lang>го.</lang> <lex>áihts</lex>.","Тат.","ǣht, áihts, hehti",,
"eid","<heading><strong>eid</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> (a) <em>клятва</em>; <lang>нн.</lang> <lex>Eid</lex> <lang>дс.</lang> <lex>eth</lex>, <lang>да.</lang> <lex>āð</lex>, <lang>ди.</lang> <lex>eiðr</lex>, <lang>го.</lang> <lex>aiþs</lex>; ср. <lang>др. ирл.</lang> <lex>ōeth</lex> также <em>клятва</em>, но <lang>греч.</lang> <lex>oitos</lex> <em>судьба</em>.",,"oitos, aiþs, ōeth, eiðr, āð, eth, Eid",,
"eigan","<heading><strong>eigan</strong></heading>, <lang>свн.</lang> <lex>eigen</lex> (прил.) <em>собственный, свойственный</em>; <lang>нн.</lang> <lex>eigen</lex>; <lang>дс.</lang> <lex>êgan</lex>.",,"êgan, eigen",,
"eigan","<heading><strong>eigan</strong></heading> (прпргл.) (наст. 1 л. мн. <lex>eigâmes</lex>, 2 л. <lex>eigut</lex>, 3 л. <lex>eigun</lex>, сосл. <lex>eigi</lex> и т. д., прош. не засвидетельствовано) <em>обла­дать, иметь</em>; <lang>дс.</lang> <lex>êgan</lex> (прош. <lex>êhta</lex>), <lang>да.</lang> <lex>āƷan</lex> (прош. <lex>āhte</lex>), <lang>го.</lang> <lex>aigan</lex> (прош. <lex>áihta</lex>).",,"eigâmes, êhta, eigun, eigut, āƷan, eigi, āhte, êgan, áihta, aigan",,
"eigendiwe","<heading><strong>eigendiwe</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>крепостная служанка</em>.",,,,
"eigenman","<heading><strong>eigenman</strong></heading> <lang>свн.</lang> <gender>мр</gender> (мн. <lex>eigenliute</lex>) <em>кре­постной человек</em>.",,"eigenliute",,
"ein","<heading><strong>ein</strong></heading>, <source>— Хильт.—</source> <lex>aenon</lex>, <lang>двн.</lang> <lang>свн.</lang> (числ.) <em>один</em>, в <lang>свн.</lang> также неопределенный артикль; <lang>нн.</lang> <lex>ein</lex>; <lang>дс.</lang> <lex>ên</lex> <lang>да.</lang> <lex>ān</lex>, <lang>а.</lang> <lex>one</lex>, <lex variants="an, a">a(n)</lex>, <lang>ди.</lang> <lex>einn</lex>, <lang>го.</lang> <lex>ains</lex>; ср. <lang>длат.</lang> <lex>oinos</lex>.","Хильт.","a, an, ains, ān, aenon, one, ein, ên, einn, oinos",,
"einbære","<heading><strong>einbære</strong></heading> <lang>свн.</lang> (прил.) <em>одинаковый</em>.",,,,
"einfalt","<heading><strong>einfalt</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>простой, чис­тый, простодушный</em>; ср. <lang>нн.</lang> <lex>einfältig</lex> <em>наивный, глупый</em>.",,"einfältig",,
"einhalp","<heading><strong>einhalp</strong></heading> <lang>свн.</lang> (нар.) <em>с одной стороны, на одной стороне</em>.",,,,
"einîg, einîc","<heading><strong>einîg</strong></heading>, <heading><strong>einîc</strong></heading> и <lex>eining</lex> (мест.) <em>какой-л., какой-н.</em>; <lang>дс.</lang> <lex>ênig</lex>; ср. <lang>нн.</lang> <lex>einige</lex> <em>не­сколько</em>.",,"einige, ênig, eining",,
"einkunni","<heading><strong>einkunni</strong></heading> (прил.) <em>из одного племени, при­надлежащий к одному племени</em>.",,,,
"einlif","<heading><strong>einlif</strong></heading>, <lang>свн.</lang> <lex variants="">eilfi)f</lex> (числ.) <em>одиннадцать</em>; <lang>нн.</lang> <lex>elf</lex>; <lang>дс.</lang> <lex>elleban</lex> (из <lex>*ênlîƀan</lex>), <lang>да.</lang> <lex>ānleofan</lex>, <lang>ди.</lang> <lex>ellifu</lex>, <lang>го.</lang> <lex>ainlif</lex>.",,", ānleofan, *ênlîƀan, ainlif, elf, elleban, ellifu",,
"einôti","<heading><strong>einôti</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex>einœte</lex> <em>пустыня, глушь</em>; <lang>нн.</lang> <lex>Einöde</lex>, <lang>дс.</lang> <lex>enôdi</lex>; <lang>да.</lang> <lex>ānad</lex>.",,"einœte, Einöde, enôdi, ānad",,
"eitar, eittar","<heading variants="eitar, eittar"><strong>eit(t)ar</strong></heading> <gender>срр</gender>, <lang>свн.</lang> <lex>eiter</lex> также <gender>мр</gender> <em>яд</em>; <lang>нн.</lang> <lex>Eiter</lex> <gender>мр</gender>. <em>гной</em>; <lang>дс.</lang> <lex>ettar</lex>, <lang>да.</lang> <lex variants="āttor, ātor">āt(t)or</lex>, <lang>ди.</lang> <lex>eitr</lex>.",,"āttor, Eiter, ettar, eiter, ātor, eitr",,
